Start,End,Start Time,End Time,Action
19298,19357,00:05:21.955,00:05:22.940,None
19358,19599,00:05:22.956,00:05:26.977,None
19600,19829,00:05:26.994,00:05:30.814,None
19830,20737,00:05:30.831,00:05:45.963,Capture and Fight
20738,20932,00:05:45.979,00:05:49.216,None
20933,21192,00:05:49.233,00:05:53.554,None
21193,21424,00:05:53.570,00:05:57.424,None
21425,21589,00:05:57.441,00:06:00.177,None
21590,21689,00:06:00.194,00:06:01.845,None
21690,21784,00:06:01.862,00:06:03.430,None
21785,21897,00:06:03.447,00:06:05.315,None
21898,21969,00:06:05.332,00:06:06.517,None
21970,22569,00:06:06.533,00:06:16.527,None
22570,22679,00:06:16.543,00:06:18.362,None
22680,22984,00:06:18.378,00:06:23.450,None
22985,22987,00:06:23.467,00:06:23.500,None
22988,23396,00:06:23.517,00:06:30.324,None
23397,23631,00:06:30.340,00:06:34.244,None
23632,23756,00:06:34.261,00:06:36.330,None
23757,23944,00:06:36.346,00:06:39.466,None
23945,24156,00:06:39.483,00:06:43.003,None
24157,24399,00:06:43.020,00:06:47.057,None
24400,24820,00:06:47.074,00:06:54.081,None
24821,25183,00:06:54.097,00:07:00.137,None
25184,25395,00:07:00.153,00:07:03.674,None
25396,25568,00:07:03.690,00:07:06.560,None
25569,25683,00:07:06.577,00:07:08.478,None
25684,25908,00:07:08.495,00:07:12.232,None
25909,26133,00:07:12.249,00:07:15.986,None
26134,26233,00:07:16.003,00:07:17.654,None
26234,26365,00:07:17.671,00:07:19.857,None
26366,26458,00:07:19.873,00:07:21.408,None
26459,26598,00:07:21.425,00:07:23.744,None
26599,27025,00:07:23.760,00:07:30.868,None
27026,27238,00:07:30.884,00:07:34.421,None
27239,27378,00:07:34.438,00:07:36.757,None
27379,27453,00:07:36.773,00:07:38.008,None
27454,27578,00:07:38.025,00:07:40.093,None
27579,27650,00:07:40.110,00:07:41.295,None
27651,27745,00:07:41.311,00:07:42.880,None
27746,27958,00:07:42.896,00:07:46.433,None
27959,28188,00:07:46.450,00:07:50.270,None
28189,28305,00:07:50.287,00:07:52.222,None
28306,28428,00:07:52.239,00:07:54.274,None
28429,28550,00:07:54.291,00:07:56.310,None
28551,28710,00:07:56.326,00:07:58.979,None
28711,28813,00:07:58.996,00:08:00.697,None
28814,28883,00:08:00.714,00:08:01.865,None
28884,29020,00:08:01.882,00:08:04.151,None
29021,29158,00:08:04.168,00:08:06.453,None
29159,29218,00:08:06.470,00:08:07.454,None
29219,29278,00:08:07.471,00:08:08.455,None
29279,29338,00:08:08.472,00:08:09.456,None
29339,29405,00:08:09.473,00:08:10.574,None
29406,29620,00:08:10.591,00:08:14.161,None
29621,29713,00:08:14.178,00:08:15.712,None
29714,29740,00:08:15.729,00:08:16.163,None
29741,29915,00:08:16.180,00:08:19.082,None
29916,30005,00:08:19.099,00:08:20.584,None
30006,30105,00:08:20.601,00:08:22.252,None
30106,30208,00:08:22.269,00:08:23.971,None
30209,30405,00:08:23.987,00:08:27.257,None
30406,30528,00:08:27.274,00:08:29.309,None
30529,30623,00:08:29.326,00:08:30.894,None
30624,30728,00:08:30.911,00:08:32.646,None
30729,30788,00:08:32.663,00:08:33.647,None
30789,30913,00:08:33.664,00:08:35.732,None
30914,31330,00:08:35.749,00:08:42.689,None
31331,31398,00:08:42.706,00:08:43.824,None
31399,31703,00:08:43.841,00:08:48.912,None
31704,32043,00:08:48.929,00:08:54.585,None
32044,32488,00:08:54.601,00:09:02.009,None
32489,32490,00:09:02.025,00:09:02.042,None
32491,32575,00:09:02.059,00:09:03.460,None
32576,32898,00:09:03.477,00:09:08.849,None
32899,33178,00:09:08.866,00:09:13.520,None
33179,33315,00:09:13.537,00:09:15.806,None
33316,33370,00:09:15.822,00:09:16.723,None
33371,33673,00:09:16.740,00:09:21.778,None
33674,33868,00:09:21.795,00:09:25.032,None
33869,34028,00:09:25.048,00:09:27.701,None
34029,34240,00:09:27.718,00:09:31.238,None
34241,34340,00:09:31.255,00:09:32.906,None
34341,34450,00:09:32.923,00:09:34.741,None
34451,34978,00:09:34.758,00:09:43.550,None
34979,35283,00:09:43.567,00:09:48.639,None
35284,35383,00:09:48.655,00:09:50.307,None
35384,35740,00:09:50.324,00:09:56.263,None
35741,36045,00:09:56.280,00:10:01.351,None
36046,36356,00:10:01.368,00:10:06.540,None
36357,36459,00:10:06.557,00:10:08.258,None
36460,36591,00:10:08.275,00:10:10.460,None
36592,36664,00:10:10.477,00:10:11.678,None
36665,36801,00:10:11.695,00:10:13.964,None
36802,37194,00:10:13.981,00:10:20.521,None
37195,37324,00:10:20.537,00:10:22.689,None
37325,37416,00:10:22.706,00:10:24.224,None
37417,37511,00:10:24.241,00:10:25.809,None
37512,37604,00:10:25.826,00:10:27.361,None
37605,37686,00:10:27.377,00:10:28.729,None
37687,37734,00:10:28.745,00:10:29.530,None
37735,37844,00:10:29.546,00:10:31.365,None
37845,37911,00:10:31.381,00:10:32.482,None
37912,37964,00:10:32.499,00:10:33.367,Fight
37965,38014,00:10:33.383,00:10:34.201,Fight
38015,38104,00:10:34.218,00:10:35.702,Fight
38105,38124,00:10:35.719,00:10:36.036,Fight
38125,38149,00:10:36.053,00:10:36.453,Fight
38150,38161,00:10:36.470,00:10:36.653,Fight
38162,38196,00:10:36.670,00:10:37.237,Fight
38197,38219,00:10:37.254,00:10:37.621,Fight
38220,38251,00:10:37.638,00:10:38.155,Fight
38252,38311,00:10:38.172,00:10:39.156,Fight
38312,38346,00:10:39.173,00:10:39.740,Fight
38347,38494,00:10:39.756,00:10:42.209,Fight
38495,38574,00:10:42.226,00:10:43.544,Fight
38575,38616,00:10:43.560,00:10:44.244,Fight
38617,38684,00:10:44.261,00:10:45.379,None
38685,38729,00:10:45.395,00:10:46.129,None
38730,38779,00:10:46.146,00:10:46.964,Fight
38780,38824,00:10:46.980,00:10:47.714,Fight
38825,38896,00:10:47.731,00:10:48.916,Fight
38897,38964,00:10:48.932,00:10:50.050,Fight
38965,39016,00:10:50.067,00:10:50.918,Fight
39017,39059,00:10:50.934,00:10:51.635,Fight
39060,39111,00:10:51.652,00:10:52.503,Fight
39112,39144,00:10:52.519,00:10:53.053,Fight
39145,39166,00:10:53.070,00:10:53.420,Fight
39167,39191,00:10:53.437,00:10:53.837,None
39192,39224,00:10:53.854,00:10:54.388,Fight
39225,39286,00:10:54.404,00:10:55.422,Fight
39287,39321,00:10:55.439,00:10:56.006,Fight
39322,39334,00:10:56.023,00:10:56.223,None
39335,39356,00:10:56.240,00:10:56.590,Fight
39357,39381,00:10:56.607,00:10:57.007,Fight
39382,39419,00:10:57.024,00:10:57.641,Fight
39420,39461,00:10:57.658,00:10:58.342,Fight
39462,39514,00:10:58.358,00:10:59.226,Fight
39515,39551,00:10:59.243,00:10:59.843,Fight
39552,39594,00:10:59.860,00:11:00.561,Fight
39595,39681,00:11:00.577,00:11:02.012,Fight
39682,39741,00:11:02.029,00:11:03.013,Fight
39742,39801,00:11:03.030,00:11:04.014,Fight
39802,39896,00:11:04.031,00:11:05.599,Fight
39897,40004,00:11:05.616,00:11:07.401,Fight
40005,40036,00:11:07.417,00:11:07.935,Fight
40037,40084,00:11:07.951,00:11:08.735,Fight
40085,40124,00:11:08.752,00:11:09.403,Fight
40125,40211,00:11:09.419,00:11:10.854,Fight
40212,40264,00:11:10.871,00:11:11.738,Fight
40265,40394,00:11:11.755,00:11:13.907,Fight
40395,40416,00:11:13.924,00:11:14.274,Fight
40417,40529,00:11:14.291,00:11:16.159,Fight
40530,40621,00:11:16.176,00:11:17.694,Fight
40622,40654,00:11:17.711,00:11:18.245,Fight
40655,40666,00:11:18.262,00:11:18.445,Fight
40667,40746,00:11:18.462,00:11:19.780,Fight
40747,40809,00:11:19.796,00:11:20.831,Fight
40810,40861,00:11:20.848,00:11:21.698,Fight
40862,40926,00:11:21.715,00:11:22.783,Fight
40927,40981,00:11:22.799,00:11:23.700,Pursuit
40982,41036,00:11:23.717,00:11:24.618,Fight
41037,41111,00:11:24.635,00:11:25.869,Fight
41112,41149,00:11:25.886,00:11:26.503,Fight
41150,41181,00:11:26.520,00:11:27.037,Pursuit
41182,41211,00:11:27.054,00:11:27.538,Pursuit
41212,41234,00:11:27.554,00:11:27.921,Fight
41235,41289,00:11:27.938,00:11:28.839,Fight
41290,41424,00:11:28.856,00:11:31.091,None
41425,41566,00:11:31.108,00:11:33.460,Fight
41567,41749,00:11:33.477,00:11:36.513,Fight
41750,41814,00:11:36.530,00:11:37.598,Fight
41815,41984,00:11:37.614,00:11:40.434,Fight
41985,42039,00:11:40.450,00:11:41.351,Fight
42040,42154,00:11:41.368,00:11:43.270,Fight
42155,42206,00:11:43.287,00:11:44.137,Fight
42207,42276,00:11:44.154,00:11:45.305,Fight
42277,42359,00:11:45.322,00:11:46.690,Rescue
42360,42389,00:11:46.707,00:11:47.191,Fight
42390,42444,00:11:47.207,00:11:48.108,Fight
42445,42524,00:11:48.125,00:11:49.443,None
42525,42686,00:11:49.459,00:11:52.145,None
42687,42794,00:11:52.162,00:11:53.947,Escape
42795,42926,00:11:53.964,00:11:56.149,Escape and Fight
42927,42969,00:11:56.166,00:11:56.867,Fight
42970,42994,00:11:56.884,00:11:57.284,Fight
42995,43034,00:11:57.301,00:11:57.951,Fight
43035,43051,00:11:57.968,00:11:58.235,Fight
43052,43119,00:11:58.252,00:11:59.369,Escape and Fight
43120,43166,00:11:59.386,00:12:00.153,Fight
43167,43229,00:12:00.170,00:12:01.205,Escape
43230,43331,00:12:01.221,00:12:02.906,Chaos
43332,43449,00:12:02.923,00:12:04.875,Fight
43450,43519,00:12:04.892,00:12:06.043,Pursuit and Chaos
43520,43581,00:12:06.059,00:12:07.077,Fight
43582,43659,00:12:07.094,00:12:08.378,Escape
43660,43751,00:12:08.395,00:12:09.913,None
43752,43789,00:12:09.930,00:12:10.547,Fight
43790,43824,00:12:10.564,00:12:11.131,Escape
43825,43861,00:12:11.148,00:12:11.748,None
43862,43896,00:12:11.765,00:12:12.332,None
43897,43951,00:12:12.349,00:12:13.250,None
43952,43979,00:12:13.267,00:12:13.717,None
43980,44061,00:12:13.734,00:12:15.085,None
44062,44531,00:12:15.102,00:12:22.926,None
44532,44619,00:12:22.943,00:12:24.394,Chaos
44620,44646,00:12:24.411,00:12:24.845,Fight
44647,44726,00:12:24.862,00:12:26.180,Chaos
44727,45129,00:12:26.196,00:12:32.903,None
45130,45201,00:12:32.920,00:12:34.104,None
45202,45449,00:12:34.121,00:12:38.242,None
45450,45686,00:12:38.258,00:12:42.196,None
45687,45766,00:12:42.212,00:12:43.530,Chaos
45767,45791,00:12:43.547,00:12:43.947,Fight
45792,45819,00:12:43.964,00:12:44.414,Fight
45820,45886,00:12:44.431,00:12:45.532,Fight
45887,45934,00:12:45.549,00:12:46.333,Chaos
45935,46001,00:12:46.350,00:12:47.451,Escape
46002,46049,00:12:47.467,00:12:48.252,Fight
46050,46139,00:12:48.268,00:12:49.753,Fight
46140,46194,00:12:49.770,00:12:50.671,Fight
46195,46236,00:12:50.687,00:12:51.371,Chaos
46237,46266,00:12:51.388,00:12:51.872,Fight
46267,46279,00:12:51.889,00:12:52.089,Fight
46280,46296,00:12:52.105,00:12:52.372,Fight
46297,46324,00:12:52.389,00:12:52.840,Fight
46325,46336,00:12:52.856,00:12:53.040,Fight
46337,46399,00:12:53.056,00:12:54.091,Fight
46400,46424,00:12:54.107,00:12:54.508,Fight
46425,46449,00:12:54.525,00:12:54.925,Fight
46450,46514,00:12:54.942,00:12:56.009,Fight
46515,46609,00:12:56.026,00:12:57.594,Fight
46610,46729,00:12:57.611,00:12:59.596,Fight
46730,46766,00:12:59.613,00:13:00.214,Fight
46767,46816,00:13:00.230,00:13:01.048,Fight
46817,46961,00:13:01.064,00:13:03.467,Fight
46962,47024,00:13:03.483,00:13:04.518,Chaos
47025,47051,00:13:04.535,00:13:04.968,Fight
47052,47086,00:13:04.985,00:13:05.552,Escape and Fight
47087,47141,00:13:05.569,00:13:06.470,None
47142,47464,00:13:06.486,00:13:11.859,None
47465,47546,00:13:11.875,00:13:13.227,Pursuit
47547,47589,00:13:13.243,00:13:13.944,Fight
47590,47634,00:13:13.961,00:13:14.695,Chaos
47635,47659,00:13:14.711,00:13:15.112,Chaos
47660,47689,00:13:15.128,00:13:15.612,Fight
47690,47791,00:13:15.629,00:13:17.314,Chaos
47792,47814,00:13:17.331,00:13:17.698,Chaos
47815,47936,00:13:17.714,00:13:19.733,Chaos
47937,47991,00:13:19.750,00:13:20.651,Chaos
47992,48046,00:13:20.667,00:13:21.568,Chaos
48047,48119,00:13:21.585,00:13:22.786,Fight
48120,48186,00:13:22.803,00:13:23.904,Pursuit
48187,48251,00:13:23.921,00:13:24.988,Chaos
48252,48319,00:13:25.005,00:13:26.123,Fight
48320,48489,00:13:26.139,00:13:28.959,Chaos
48490,48556,00:13:28.976,00:13:30.077,None
48557,48676,00:13:30.093,00:13:32.079,Chaos
48677,48809,00:13:32.095,00:13:34.298,None
48810,48864,00:13:34.314,00:13:35.215,Fight
48865,48951,00:13:35.232,00:13:36.667,Chaos
48952,49004,00:13:36.683,00:13:37.551,None
49005,49089,00:13:37.568,00:13:38.969,Chaos
49090,49136,00:13:38.986,00:13:39.753,None
49137,49194,00:13:39.770,00:13:40.721,Chaos
49195,49234,00:13:40.737,00:13:41.388,Fight
49235,49254,00:13:41.405,00:13:41.722,Fight
49255,49276,00:13:41.738,00:13:42.089,Fight
49277,49311,00:13:42.105,00:13:42.673,None
49312,49359,00:13:42.689,00:13:43.473,Chaos
49360,49384,00:13:43.490,00:13:43.891,Fight
49385,49419,00:13:43.907,00:13:44.474,Fight
49420,49459,00:13:44.491,00:13:45.142,Chaos
49460,49541,00:13:45.158,00:13:46.510,Chaos
49542,49609,00:13:46.527,00:13:47.644,Chaos
49610,49706,00:13:47.661,00:13:49.263,Chaos
49707,49804,00:13:49.279,00:13:50.898,Pursuit
49805,49886,00:13:50.914,00:13:52.266,None
49887,49994,00:13:52.282,00:13:54.067,Pursuit
49995,50041,00:13:54.084,00:13:54.852,Fight
50042,50069,00:13:54.868,00:13:55.319,Fight
50070,50101,00:13:55.335,00:13:55.853,Fight
50102,50141,00:13:55.869,00:13:56.520,Fight
50142,50196,00:13:56.537,00:13:57.437,Chaos
50197,50256,00:13:57.454,00:13:58.438,None
50257,50309,00:13:58.455,00:13:59.323,Pursuit
50310,50401,00:13:59.339,00:14:00.858,Chaos
50402,50429,00:14:00.874,00:14:01.325,Pursuit
50430,50456,00:14:01.341,00:14:01.775,Chaos
50457,50504,00:14:01.792,00:14:02.576,Fight
50505,50541,00:14:02.593,00:14:03.193,Fight
50542,50594,00:14:03.210,00:14:04.077,Chaos
50595,50636,00:14:04.094,00:14:04.778,Fight
50637,50679,00:14:04.795,00:14:05.495,Chaos
50680,50716,00:14:05.512,00:14:06.113,Fight
50717,50766,00:14:06.129,00:14:06.947,Chaos
50767,50826,00:14:06.964,00:14:07.948,Chaos
50827,50914,00:14:07.965,00:14:09.416,Chaos
50915,50984,00:14:09.433,00:14:10.584,Chaos
50985,51054,00:14:10.601,00:14:11.752,Fight
51055,51151,00:14:11.768,00:14:13.370,Chaos
51152,51214,00:14:13.387,00:14:14.421,Fight
51215,51291,00:14:14.438,00:14:15.706,None
51292,51404,00:14:15.722,00:14:17.591,Chaos
51405,51496,00:14:17.608,00:14:19.126,Escape
51497,51958,00:14:19.142,00:14:26.834,Fight
51959,52151,00:14:26.850,00:14:30.053,None
52152,52503,00:14:30.070,00:14:35.926,Fight
52504,52616,00:14:35.943,00:14:37.811,None
52617,52941,00:14:37.828,00:14:43.233,Escape
52942,53023,00:14:43.250,00:14:44.601,None
53024,53293,00:14:44.618,00:14:49.106,None
53294,53408,00:14:49.122,00:14:51.024,None
53409,53526,00:14:51.041,00:14:52.993,None
53527,54008,00:14:53.010,00:15:01.034,Escape
54009,54358,00:15:01.051,00:15:06.874,Fight
54359,54476,00:15:06.890,00:15:08.842,None
54477,55360,00:15:08.859,00:15:23.590,None
55361,55750,00:15:23.607,00:15:30.097,None
55751,56003,00:15:30.113,00:15:34.318,None
56004,56205,00:15:34.334,00:15:37.688,Rescue
56206,56673,00:15:37.704,00:15:45.495,None
56674,56915,00:15:45.512,00:15:49.533,None
56916,57118,00:15:49.550,00:15:52.920,Rescue
57119,57268,00:15:52.936,00:15:55.422,None
57269,57435,00:15:55.439,00:15:58.208,None
57436,57723,00:15:58.225,00:16:03.013,None
57724,57848,00:16:03.030,00:16:05.098,None
57849,58503,00:16:05.115,00:16:16.026,None
58504,58885,00:16:16.043,00:16:22.399,None
58886,60003,00:16:22.416,00:16:41.051,None
60004,60598,00:16:41.068,00:16:50.978,None
60599,60783,00:16:50.994,00:16:54.064,None
60784,60915,00:16:54.081,00:16:56.266,None
60916,61038,00:16:56.283,00:16:58.318,None
61039,61295,00:16:58.335,00:17:02.606,Fight
61296,61368,00:17:02.623,00:17:03.824,None
61369,61810,00:17:03.841,00:17:11.198,None
61811,61845,00:17:11.215,00:17:11.782,None
61846,61880,00:17:11.798,00:17:12.366,None
61881,61900,00:17:12.382,00:17:12.699,None
61901,61928,00:17:12.716,00:17:13.166,None
61929,61953,00:17:13.183,00:17:13.584,Fight
61954,61970,00:17:13.600,00:17:13.867,Fight
61971,61998,00:17:13.884,00:17:14.334,Fight
61999,62063,00:17:14.351,00:17:15.419,None
62064,62598,00:17:15.435,00:17:24.344,None
62599,62900,00:17:24.361,00:17:29.383,None
62901,62948,00:17:29.399,00:17:30.184,Fight
62949,62960,00:17:30.200,00:17:30.384,Fight
62961,62985,00:17:30.400,00:17:30.801,Fight
62986,63018,00:17:30.817,00:17:31.351,Fight
63019,63038,00:17:31.368,00:17:31.685,None
63039,63055,00:17:31.702,00:17:31.969,Fight
63056,63080,00:17:31.985,00:17:32.386,Fight
63081,63103,00:17:32.402,00:17:32.769,Fight
63104,63373,00:17:32.786,00:17:37.274,Fight
63374,63525,00:17:37.291,00:17:39.810,None
63526,63610,00:17:39.826,00:17:41.228,None
63611,63838,00:17:41.245,00:17:45.032,None
63839,63943,00:17:45.048,00:17:46.783,None
63944,64863,00:17:46.800,00:18:02.132,None
64864,65198,00:18:02.149,00:18:07.721,None
65199,65579,00:18:07.738,00:18:14.077,None
65580,66171,00:18:14.094,00:18:23.954,None
66172,66236,00:18:23.971,00:18:25.038,None
66237,66536,00:18:25.055,00:18:30.043,None
66537,66974,00:18:30.060,00:18:37.351,None
66975,67481,00:18:37.367,00:18:45.809,None
67482,67614,00:18:45.826,00:18:48.028,None
67615,67784,00:18:48.045,00:18:50.864,None
67785,68041,00:18:50.881,00:18:55.152,None
68042,68209,00:18:55.169,00:18:57.955,None
68210,68281,00:18:57.971,00:18:59.156,Fight
68282,68326,00:18:59.173,00:18:59.907,Fight
68327,68404,00:18:59.923,00:19:01.208,None
68405,68444,00:19:01.225,00:19:01.875,None
68445,68739,00:19:01.892,00:19:06.797,None
68740,68804,00:19:06.813,00:19:07.881,None
68805,68944,00:19:07.898,00:19:10.217,None
68945,69154,00:19:10.234,00:19:13.720,None
69155,69766,00:19:13.737,00:19:23.931,None
69767,70976,00:19:23.947,00:19:44.117,None
70977,71711,00:19:44.134,00:19:56.380,None
71712,71851,00:19:56.396,00:19:58.715,None
71852,71941,00:19:58.732,00:20:00.217,None
71942,72056,00:20:00.234,00:20:02.135,None
72057,72411,00:20:02.152,00:20:08.058,None
72412,72576,00:20:08.075,00:20:10.811,None
72577,72827,00:20:10.827,00:20:14.998,None
72828,74227,00:20:15.015,00:20:38.355,None
74228,74342,00:20:38.372,00:20:40.274,None
74343,74554,00:20:40.290,00:20:43.810,None
74555,74784,00:20:43.827,00:20:47.648,None
74785,74977,00:20:47.664,00:20:50.868,None
74978,75547,00:20:50.884,00:21:00.377,None
75548,78662,00:21:00.394,00:21:52.346,None
78663,78752,00:21:52.362,00:21:53.847,None
78753,81535,00:21:53.864,00:22:40.277,None
81536,81897,00:22:40.294,00:22:46.316,None
81898,82549,00:22:46.333,00:22:57.194,None
82550,86314,00:22:57.211,00:24:00.007,None
86315,86821,00:24:00.023,00:24:08.465,None
86822,87434,00:24:08.482,00:24:18.692,None
87435,87541,00:24:18.709,00:24:20.477,None
87542,87729,00:24:20.494,00:24:23.614,None
87730,89444,00:24:23.630,00:24:52.226,None
89445,89621,00:24:52.242,00:24:55.179,None
89622,89961,00:24:55.195,00:25:00.851,None
89962,90114,00:25:00.868,00:25:03.403,None
90115,90221,00:25:03.420,00:25:05.189,None
90222,90336,00:25:05.205,00:25:07.107,None
90337,90469,00:25:07.124,00:25:09.326,None
90470,90601,00:25:09.343,00:25:11.528,None
90602,90726,00:25:11.545,00:25:13.614,None
90727,90909,00:25:13.630,00:25:16.667,None
90910,91094,00:25:16.683,00:25:19.753,None
91095,91204,00:25:19.770,00:25:21.588,None
91205,91646,00:25:21.605,00:25:28.962,None
91647,91851,00:25:28.979,00:25:32.382,None
91852,92006,00:25:32.399,00:25:34.968,None
92007,92316,00:25:34.985,00:25:40.140,None
92317,92686,00:25:40.157,00:25:46.313,None
92687,93569,00:25:46.330,00:26:01.044,None
93570,93941,00:26:01.061,00:26:07.251,None
93942,94266,00:26:07.267,00:26:12.673,None
94267,94336,00:26:12.689,00:26:13.841,None
94337,94446,00:26:13.857,00:26:15.676,None
94447,94559,00:26:15.692,00:26:17.561,None
94560,94699,00:26:17.578,00:26:19.897,None
94700,94954,00:26:19.913,00:26:24.151,None
94955,95046,00:26:24.168,00:26:25.686,None
95047,95421,00:26:25.702,00:26:31.942,None
95422,95816,00:26:31.959,00:26:38.532,None
95817,95966,00:26:38.549,00:26:41.034,None
95967,96216,00:26:41.051,00:26:45.205,None
96217,96414,00:26:45.222,00:26:48.509,None
96415,97109,00:26:48.525,00:27:00.103,None
97110,97411,00:27:00.120,00:27:05.142,None
97412,97771,00:27:05.158,00:27:11.148,None
97772,98301,00:27:11.164,00:27:19.990,None
98302,98554,00:27:20.007,00:27:24.211,None
98555,98899,00:27:24.228,00:27:29.967,None
98900,99381,00:27:29.983,00:27:38.008,None
99382,99494,00:27:38.025,00:27:39.893,None
99495,99571,00:27:39.910,00:27:41.178,None
99572,99996,00:27:41.195,00:27:48.268,None
99997,100121,00:27:48.285,00:27:50.354,None
100122,100419,00:27:50.370,00:27:55.325,None
100420,100511,00:27:55.342,00:27:56.860,None
100512,100691,00:27:56.877,00:27:59.863,None
100692,100956,00:27:59.880,00:28:04.284,None
100957,101174,00:28:04.301,00:28:07.921,None
101175,101209,00:28:07.938,00:28:08.505,None
101210,101279,00:28:08.522,00:28:09.673,None
101280,101449,00:28:09.690,00:28:12.509,None
101450,101566,00:28:12.526,00:28:14.461,None
101567,101684,00:28:14.478,00:28:16.430,None
101685,101819,00:28:16.446,00:28:18.682,None
101820,102004,00:28:18.699,00:28:21.768,None
102005,102134,00:28:21.785,00:28:23.937,None
102135,102296,00:28:23.954,00:28:26.640,None
102297,102609,00:28:26.657,00:28:31.862,None
102610,103139,00:28:31.879,00:28:40.704,None
103140,103249,00:28:40.721,00:28:42.539,None
103250,103719,00:28:42.556,00:28:50.380,None
103720,103889,00:28:50.397,00:28:53.217,None
103890,104426,00:28:53.233,00:29:02.176,None
104427,104721,00:29:02.192,00:29:07.097,None
104722,104891,00:29:07.114,00:29:09.933,None
104892,105381,00:29:09.950,00:29:18.108,None
105382,105569,00:29:18.125,00:29:21.245,None
105570,105706,00:29:21.261,00:29:23.530,None
105707,105946,00:29:23.547,00:29:27.534,None
105947,106549,00:29:27.551,00:29:37.594,None
106550,106689,00:29:37.611,00:29:39.930,None
106690,107624,00:29:39.947,00:29:55.529,None
107625,108344,00:29:55.546,00:30:07.541,None
108345,108954,00:30:07.558,00:30:17.718,None
108955,109856,00:30:17.734,00:30:32.766,None
109857,111041,00:30:32.783,00:30:52.536,None
111042,111289,00:30:52.553,00:30:56.673,None
111290,111401,00:30:56.690,00:30:58.542,None
111402,111638,00:30:58.559,00:31:02.496,None
